CP13	CP24	CPT	CPS	alpha	beta
5.075762257	14.66131381	12.83429976	4.155417966	40	-40
10.75016218	37.43602657	29.38686014	8.87892514	35	-40
-29.18890174	-134.8247546	-96.42854672	-26.42400233	30	-40
-3.745981196	-27.17273839	-17.8969048	-4.306963303	25	-40
-0.905739422	-17.15240888	-10.61533305	-2.16908253	20	-40
0.609245606	-13.88280513	-8.226143471	-1.350815892	15	-40
1.98864443	-13.38083554	-7.775476547	-0.968799257	10	-40
3.802816023	-14.47737999	-8.521807771	-0.750384082	5	-40
7.248298111	-18.86636237	-11.60198858	-0.749996202	0	-40
17.21232209	-33.73172158	-22.23922792	-1.231234159	-5	-40
112.1552149	-176.398504	-126.1200659	-8.404837584	-10	-40
-28.03317849	36.48955834	29.01663639	2.560156217	-15	-40
-11.56314207	12.87461088	11.7177539	1.360686276	-20	-40
-7.242388198	7.023262147	7.431707383	1.101184582	-25	-40
-5.238453259	4.498325269	5.583372341	1.005522381	-30	-40
-4.079483616	3.117576386	4.585761738	0.961059153	-35	-40
-3.426839453	2.397740389	4.103859544	0.982564959	-40	-40
14.80586393	32.49566647	26.41091928	7.662894591	40	-35
-22.27467758	-57.53851789	-40.96595895	-10.5275602	35	-35
-5.215752574	-16.80431446	-10.61182456	-2.256877431	30	-35
-2.332051948	-10.46976951	-5.937399881	-0.951860569	25	-35
-1.013998324	-7.983654652	-4.146186085	-0.420494552	20	-35
-0.107063031	-6.79950827	-3.312844584	-0.116823126	15	-35
0.686750651	-6.415660335	-3.015272243	0.086245497	10	-35
1.548720209	-6.462509667	-3.056090901	0.2722074	5	-35
2.726671585	-7.098730567	-3.532963041	0.441345924	0	-35
4.507946893	-8.390610943	-4.560344593	0.597284698	-5	-35
7.312836186	-10.60056051	-6.424152591	0.628132352	-10	-35
13.89300943	-16.33816563	-11.36462321	0.541641301	-15	-35
96.81884457	-95.8577243	-78.92070077	-0.883911292	-20	-35
-18.99532509	16.1549193	16.10141248	1.15906793	-25	-35
-8.838086682	6.563146051	7.975459633	1.001643375	-30	-35
-5.876993926	3.834545819	5.703931122	0.985984115	-35	-35
-4.73982095	2.80324718	4.936851955	1.078094178	-40	-35
-42.54666491	-75.39855508	-56.52247228	-14.47493109	40	-30
-7.875503679	-15.90417874	-10.27781719	-2.079900559	35	-30
-3.847416209	-9.249874252	-5.206312504	-0.670758967	30	-30
-2.138608907	-6.652812692	-3.269224019	-0.133584761	25	-30
-1.129236001	-5.262723187	-2.281155107	0.142536135	20	-30
-0.397684245	-4.489765681	-1.759095648	0.333150414	15	-30
0.220607737	-4.168808963	-1.532000448	0.4869561	10	-30
0.846398205	-4.051148058	-1.474176666	0.638036002	5	-30
1.609512424	-4.206468952	-1.629438334	0.793341943	0	-30
2.574036825	-4.51981364	-1.959255248	0.922464628	-5	-30
3.81072568	-5.029590213	-2.526059267	0.96427761	-10	-30
5.626347871	-5.874366157	-3.529784281	0.931944498	-15	-30
9.806762224	-8.452734314	-6.332503329	0.890227526	-20	-30
38.08259645	-27.63563272	-26.57823968	0.804697633	-25	-30
-27.14764065	16.85482646	20.67480772	1.238036425	-30	-30
-10.51851852	5.637031068	8.802996389	1.153937983	-35	-30
-7.018286457	3.334038801	6.439691822	1.24435162	-40	-30
-14.5408168	-20.91645266	-15.06535789	-3.200039627	40	-25
-6.114633402	-9.808171914	-5.948134391	-0.79542868	35	-25
-3.512716983	-6.506130086	-3.334000492	-0.072810498	30	-25
-2.166192354	-4.925914217	-2.12750146	0.279253868	25	-25
-1.275593818	-3.959755212	-1.432994503	0.490950109	20	-25
-0.607389151	-3.37213546	-1.039599972	0.630708344	15	-25
-0.054810886	-3.086656697	-0.854360269	0.756658519	10	-25
0.489142125	-2.918081231	-0.779675835	0.881429841	5	-25
1.090648588	-2.8739301	-0.8168409	1.005725834	0	-25
1.781287544	-2.915374128	-0.957167348	1.090443985	-5	-25
2.560860192	-3.012436813	-1.20548345	1.09666354	-10	-25
3.545284542	-3.18867062	-1.632690514	1.046857993	-15	-25
5.255632753	-3.783766933	-2.627158416	0.999882642	-20	-25
9.416762284	-5.541283763	-5.327143504	0.912599714	-25	-25
24.6007974	-12.00995076	-15.66002983	0.361064623	-30	-25
-41.34074512	16.8596097	29.85452395	2.51011236	-35	-25
-12.07349616	4.194121581	9.832372703	1.633633729	-40	-25
-11.66806262	-13.58089104	-9.886056021	-1.6407294	40	-20
-5.804682998	-7.386914045	-4.4338039	-0.243449541	35	-20
-3.510387006	-5.048584468	-2.465473536	0.272825236	30	-20
-2.259487026	-3.862013146	-1.506244629	0.562033342	25	-20
-1.433345337	-3.136862321	-0.964085944	0.742647941	20	-20
-0.800026913	-2.674366709	-0.652612221	0.87472106	15	-20
-0.265410704	-2.408935176	-0.489088733	0.992650652	10	-20
0.246917777	-2.2223809	-0.416309852	1.100485642	5	-20
0.780654323	-2.099796488	-0.415656128	1.196499152	0	-20
1.351370886	-2.019611622	-0.480701585	1.239218426	-5	-20
1.93919111	-1.957497114	-0.606828708	1.200614475	-10	-20
2.626887913	-1.929254931	-0.84814326	1.117248275	-15	-20
3.626994624	-2.033110239	-1.366748133	1.031648573	-20	-20
5.379077077	-2.346679341	-2.429119464	0.902271577	-25	-20
8.906420674	-3.044328347	-4.746475775	0.584479587	-30	-20
27.42811755	-7.333439237	-17.29197776	-0.596028594	-35	-20
-31.08427012	6.596209075	22.73635841	3.187412817	-40	-20
-10.56756237	-9.860890308	-7.601312261	-0.931296636	40	-15
-5.656946074	-5.693968464	-3.532214699	0.083063282	35	-15
-3.575266031	-3.984690122	-1.948158056	0.505511599	30	-15
-2.3844652	-3.057288526	-1.132143905	0.763854143	25	-15
-1.593230513	-2.474094939	-0.669098633	0.933944403	20	-15
-0.981974628	-2.100474352	-0.408957529	1.077418643	15	-15
-0.458793157	-1.859030241	-0.270502757	1.20384411	10	-15
0.041431103	-1.680061325	-0.20964903	1.208317199	5	-15
0.553214494	-1.539342986	-0.20278553	1.26885747	0	-15
1.075429759	-1.393054609	-0.233717203	1.288672691	-5	-15
1.589763622	-1.264445173	-0.318415102	1.284326709	-10	-15
2.143009949	-1.148372276	-0.478377081	1.201511702	-15	-15
2.830057521	-1.057846885	-0.793699071	1.063141002	-20	-15
3.838668781	-1.008610809	-1.377719242	0.884046414	-25	-15
5.722273825	-1.036112854	-2.595144008	0.628709223	-30	-15
11.66019485	-1.362951703	-6.563463	0.133006288	-35	-15
111.5661502	-7.89511323	-74.74970203	-8.39034565	-40	-15
-10.13075255	-7.425150464	-6.423020342	-0.56662133	40	-10
-5.67041669	-4.414853879	-3.032796612	0.265015413	35	-10
-3.684376072	-3.112612495	-1.647131652	0.654436684	30	-10
-2.511436373	-2.363858638	-0.90315737	0.897928382	25	-10
-1.736305285	-1.890578127	-0.485572297	1.067491538	20	-10
-1.142419267	-1.579157088	-0.256135742	1.211143952	15	-10
-0.643926382	-1.36856341	-0.140651548	1.252586875	10	-10
-0.143668052	-1.177811204	-0.092404242	1.338234653	5	-10
0.350572867	-1.037981083	-0.08630442	1.393519282	0	-10
0.844466071	-0.865080067	-0.108776431	1.388104928	-5	-10
1.357137622	-0.711170166	-0.181370074	1.328807837	-10	-10
1.86881709	-0.550296657	-0.307982566	1.231810203	-15	-10
2.400315775	-0.38456996	-0.520330607	1.109748206	-20	-10
3.126306587	-0.21874802	-0.922911071	0.898676152	-25	-10
4.481349821	-0.02965663	-1.78706314	0.678918731	-30	-10
8.312863936	0.348971445	-4.326137259	0.339537722	-35	-10
31.25072637	2.333276363	-19.91505726	-1.595111947	-40	-10
-9.770586503	-5.375674253	-5.638168088	-0.396452657	40	-5
-5.717556851	-3.291001948	-2.741609714	0.35783603	35	-5
-3.793191044	-2.311907999	-1.4746862	0.73016289	30	-5
-2.631979285	-1.727834359	-0.779060991	0.967612341	25	-5
-1.85563782	-1.342966426	-0.380745745	1.141275415	20	-5
-1.288469048	-1.075898464	-0.168156631	1.210522983	15	-5
-0.80308806	-0.876564086	-0.068007534	1.334236909	10	-5
-0.308203298	-0.680936783	-0.030213463	1.451950269	5	-5
0.171002905	-0.532668533	-0.02666226	1.528100505	0	-5
0.647941932	-0.35643118	-0.049704702	1.494477255	-5	-5
1.168992546	-0.184492812	-0.115653329	1.411799824	-10	-5
1.685355324	0.003117167	-0.227242106	1.285247232	-15	-5
2.198245763	0.188610677	-0.418572467	1.187733699	-20	-5
2.938980707	0.42775267	-0.819535716	1.002341456	-25	-5
4.296320237	0.797243116	-1.66554996	0.821429885	-30	-5
7.777014165	1.66146696	-3.965884651	0.54270599	-35	-5
26.14589351	6.080130341	-16.49900022	-0.759905206	-40	-5
-9.861587012	-3.950150943	-5.455503416	-0.364085281	40	0
-5.801237835	-2.312178687	-2.62824942	0.36048053	35	0
-3.898114007	-1.557344256	-1.404115045	0.728978084	30	0
-2.746128259	-1.117928868	-0.725121187	0.968958127	25	0
-1.984123304	-0.793437338	-0.338246497	1.151480022	20	0
-1.421174701	-0.574938883	-0.131427736	1.222674941	15	0
-0.937443218	-0.413274886	-0.037273882	1.362755137	10	0
-0.451537702	-0.227780557	-0.008558675	1.504186503	5	0
0.016582171	-0.05059979	-0.00498228	1.619396868	0	0
0.499794474	0.120986527	-0.027449189	1.550079927	-5	0
1.013287952	0.296491058	-0.089325762	1.454720062	-10	0
1.541163977	0.491148414	-0.204231832	1.331732656	-15	0
2.07440365	0.75998163	-0.407439675	1.261861099	-20	0
2.877636264	1.061724621	-0.827323217	1.092577712	-25	0
4.294306391	1.598030363	-1.701241611	0.929745102	-30	0
7.6	2.974705735	-3.909892312	0.669321312	-35	0
34.58818762	13.57592949	-22.44797893	-0.548779252	-40	0
-10.13636012	-2.445816009	-5.507237183	-0.490400873	40	5
-5.930615309	-1.357289687	-2.637728895	0.279717221	35	5
-4.013076524	-0.836145922	-1.412771282	0.664817535	30	5
-2.886995592	-0.506112831	-0.739557123	0.911542266	25	5
-2.132751568	-0.277196618	-0.353487865	1.105895828	20	5
-1.567868466	-0.09708036	-0.138391151	1.188769661	15	5
-1.092308137	0.062268139	-0.041823966	1.334144245	10	5
-0.6007957	0.228399237	-0.009199515	1.463004542	5	5
-0.130546941	0.401413998	-0.007528345	1.541252899	0	5
0.342719734	0.566465155	-0.028743511	1.507404994	-5	5
0.843728104	0.776743414	-0.092184592	1.433253662	-10	5
1.361311978	1.0042119	-0.207066004	1.322066523	-15	5
1.912783909	1.25601043	-0.409433776	1.255194843	-20	5
2.716067461	1.662298889	-0.832294689	1.095608827	-25	5
4.174852821	2.425252674	-1.747375062	0.959177399	-30	5
7.292814371	4.071457086	-3.873403194	0.68498004	-35	5
53.00466013	28.65434678	-35.98457336	-0.66704162	-40	5
-10.54967571	-0.918007373	-5.775299461	-0.684934723	40	10
-6.254849078	-0.362462381	-2.839978757	0.127504128	35	10
-4.264641859	-0.072083296	-1.555933171	0.55044257	30	10
-3.110958626	0.132105278	-0.848650052	0.821056648	25	10
-2.34810863	0.291246789	-0.445256756	1.030055545	20	10
-1.744395198	0.431171737	-0.208163002	1.215779509	15	10
-1.275226439	0.577231205	-0.093713593	1.273771517	10	10
-0.803138661	0.740876951	-0.05149898	1.371050013	5	10
-0.328632264	0.904239635	-0.04543531	1.411999316	0	10
0.153901443	1.072910427	-0.067323714	1.390612578	-5	10
0.649665491	1.262812145	-0.135911073	1.34153005	-10	10
1.160829439	1.484915851	-0.253396063	1.326425863	-15	10
1.730342372	1.783258262	-0.471492935	1.173864316	-20	10
2.502615217	2.245589806	-0.884731142	1.015614817	-25	10
3.951750642	3.220529287	-1.841004853	0.882650442	-30	10
6.787216848	5.162238276	-3.885637321	0.56987878	-35	10
233.2390171	167.985108	-172.6195086	-5.344005957	-40	10
-11.65261707	0.696421821	-6.558663659	-0.989628217	40	15
-6.886063174	0.69421427	-3.265863285	-0.037419723	35	15
-4.781609265	0.754962088	-1.889434028	0.427772975	30	15
-3.483397134	0.81755788	-1.083666941	0.735245321	25	15
-2.641662443	0.906879233	-0.632769663	0.963899	20	15
-1.99295806	1.008958417	-0.362125061	1.14830414	15	15
-1.478484528	1.123677192	-0.214798997	1.289813954	10	15
-1.013201263	1.277522729	-0.159465078	1.288230314	5	15
-0.531231433	1.423587019	-0.145109462	1.305237632	0	15
-0.038004239	1.569579392	-0.162669335	1.265986636	-5	15
0.444288687	1.730088676	-0.234950228	1.288013235	-10	15
0.982743279	2.004031539	-0.394382106	1.20580901	-15	15
1.616970929	2.408304674	-0.681809607	1.093208606	-20	15
2.488094824	3.04990063	-1.199961085	0.956096737	-25	15
4.045553168	4.354642028	-2.319931387	0.794193954	-30	15
6.994644886	6.862660248	-4.629956185	0.396062098	-35	15
-65.21781737	-59.8155902	54.58975501	3.24454343	-40	15
-14.70192172	2.922654721	-8.717383376	-1.623383458	40	20
-8.182538345	2.031929268	-4.142194318	-0.288158562	35	20
-5.644262317	1.792091855	-2.469741852	0.275508499	30	20
-4.119891616	1.685756981	-1.527326814	0.628889118	25	20
-3.11688509	1.678911048	-0.980006331	0.875504907	20	20
-2.380466979	1.71691031	-0.650125319	1.052070467	15	20
-1.799646359	1.785253585	-0.459815267	1.17344397	10	20
-1.276514991	1.887831216	-0.376187187	1.246220776	5	20
-0.773372784	2.006458215	-0.353764083	1.253511527	0	20
-0.263938736	2.146393874	-0.380706366	1.199222768	-5	20
0.24232755	2.328189342	-0.475006842	1.128072536	-10	20
0.819330289	2.684419865	-0.700242553	1.067327139	-15	20
1.556297528	3.299878211	-1.124204041	0.995552687	-20	20
2.6416626	4.346260106	-1.900364335	0.87834977	-25	20
4.693027439	6.546726425	-3.611594849	0.668626522	-30	20
9.761220007	12.12614479	-8.158302598	0.073391074	-35	20
-20.97795152	-24.02845973	20.71321345	2.040031274	-40	20
-22.21597745	7.303542373	-14.16784365	-3.136437263	40	25
-10.52391784	4.064051304	-5.867405563	-0.751369852	35	25
-7.058147711	3.266857017	-3.521048997	0.014490947	30	25
-5.061053297	2.865360182	-2.251002379	0.4389575	25	25
-3.852325396	2.702137243	-1.560579424	0.71586732	20	25
-2.962933075	2.638099849	-1.136001722	0.8953357	15	25
-2.270518687	2.63549702	-0.886680954	1.011561165	10	25
-1.666869228	2.692964504	-0.769080899	1.068270361	5	25
-1.107210479	2.790749517	-0.739471169	1.067635293	0	25
-0.552083204	2.938873669	-0.785530997	1.012421128	-5	25
-0.001969814	3.174028915	-0.925459935	0.936115433	-10	25
0.629856446	3.689097202	-1.261798638	0.875110691	-15	25
1.491170092	4.67596388	-1.926580114	0.812813245	-20	25
2.946502182	6.619848326	-3.291276441	0.674497809	-25	25
6.244320468	11.38716692	-6.758993441	0.310715583	-30	25
24.07785888	38.06974858	-26.60757734	-1.795968022	-35	25
-10.19704139	-14.60254935	12.41804152	1.78211195	-40	25
-66.14242913	30.2375647	-46.75457997	-11.68792974	40	30
-16.3837779	8.439779386	-10.35075906	-1.904115476	35	30
-9.644023635	5.767422635	-5.584854874	-0.50127936	30	30
-6.642521793	4.68113943	-3.560669859	0.088831195	25	30
-5.012055883	4.217644139	-2.569853202	0.428090206	20	30
-3.85584603	3.976455493	-1.972894948	0.642149158	15	30
-2.975449642	3.869535029	-1.623201279	0.771825004	10	30
-2.237524093	3.864390064	-1.452802868	0.829564464	5	30
-1.594130244	3.955475914	-1.423393256	0.832248482	0	30
-0.968278429	4.140435554	-1.505655221	0.776349839	-5	30
-0.349629978	4.494413603	-1.738331289	0.685603641	-10	30
0.371466428	5.356168095	-2.305822801	0.582118733	-15	30
1.42514641	7.10803624	-3.4689509	0.448312733	-20	30
3.58909836	11.39514942	-6.413319219	0.138253299	-25	30
11.8981745	28.95812963	-18.73357473	-1.238383799	-30	30
-24.73558094	-50.16884926	37.19754806	5.152410142	-35	30
-5.782895472	-10.42996087	9.046003354	1.72822806	-40	30
49.33709257	-28.60413115	39.28024398	10.93411206	40	35
-44.28510891	28.26758677	-32.11987084	-7.467352934	35	35
-17.71170057	12.83009247	-12.17041738	-2.058701648	30	35
-10.32004536	8.636270412	-6.774688775	-0.656722578	25	35
-7.32100588	7.132941324	-4.734142375	-0.091455023	20	35
-5.468507223	6.347950776	-3.62341359	0.200770465	15	35
-4.209176184	5.988522818	-3.033540585	0.376386155	10	35
-3.253138524	5.902458075	-2.782263766	0.460124087	5	35
-2.477125235	6.069489208	-2.794175902	0.476183316	0	35
-1.722917195	6.439530844	-2.996740891	0.408013114	-5	35
-0.967896076	7.111248772	-3.446677824	0.273666868	-10	35
-0.085015691	8.929647474	-4.663935004	0.059927434	-15	35
1.398695	13.30296542	-7.602019776	-0.361493593	-20	35
6.523336097	31.62761319	-20.14350167	-2.097420341	-25	35
-23.57394463	-79.84821782	56.76629934	8.849689984	-30	35
-5.852652021	-15.58927054	12.51689121	2.49840191	-35	35
-3.336206562	-7.661269656	7.028771112	1.640186372	-40	35
15.37354533	-10.68562859	14.02664199	4.245494522	40	40
35.27936229	-26.72187981	30.05694449	8.160611506	35	40
-102.1373879	85.92037718	-82.8500737	-19.39718367	30	40
-25.47952659	24.46064648	-20.3657808	-3.80164265	25	40
-14.31830495	15.74477554	-11.53531347	-1.625677245	20	40
-9.595236356	12.32395704	-8.061591291	-0.826404618	15	40
-7.158862516	10.95992124	-6.57721484	-0.459292388	10	40
-5.692399795	10.74564843	-6.152771178	-0.300921729	5	40
-4.674274702	11.3721912	-6.422955091	-0.296873573	0	40
-3.706064569	12.68272871	-7.225992979	-0.45707992	-5	40
-2.703084482	14.92640239	-8.733172336	-0.801111405	-10	40
-1.706354569	22.91102122	-14.17365425	-1.782562131	-15	40
1.761917459	70.49151195	-46.73215521	-7.455726463	-20	40
-5.098158212	-44.00121852	31.80480084	6.124020135	-25	40
-3.252049606	-16.56566017	13.07837782	2.925086113	-30	40
-2.508575078	-9.261539865	8.111749681	2.029921547	-35	40
-2.030866521	-6.221425883	6.057336445	1.652804336	-40	40
